YEAR,PROVINCE,DISTRIC,SEX,VALUE,UNIT,SOURCE
2564,รวม,รวม,รวม,66171439.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,รวม,รวม,รวม,32339118.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,รวม,รวม,รวม,33832321.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,รวม,รวม,5527994.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สมุทรปราการ,รวม,รวม,1356449.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นนทบุรี,รวม,รวม,1288637.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ปทุมธานี,รวม,รวม,1190060.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พระนครศรีอยุธยา,รวม,รวม,820512.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อ่างทอง,รวม,รวม,274763.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ลพบุรี,รวม,รวม,739473.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สิงห์บุรี,รวม,รวม,204526.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ชัยนาท,รวม,รวม,320432.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สระบุรี,รวม,รวม,643963.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ชลบุรี,รวม,รวม,1583672.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ระยอง,รวม,รวม,751343.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,จันทบุรี,รวม,รวม,536557.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ตราด,รวม,รวม,228376.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ฉะเชิงเทรา,รวม,รวม,724178.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ปราจีนบุรี,รวม,รวม,495325.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครนายก,รวม,รวม,260433.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สระแก้ว,รวม,รวม,561992.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ราชบุรี,รวม,รวม,868281.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กาญจนบุรี,รวม,รวม,894054.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สุพรรณบุรี,รวม,รวม,835360.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครปฐม,รวม,รวม,922171.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สมุทรสาคร,รวม,รวม,586789.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สมุทรสงคราม,รวม,รวม,190842.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เพชรบุรี,รวม,รวม,482875.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ประจวบคีรีขันธ์,รวม,รวม,553171.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เชียงใหม่,รวม,รวม,1789385.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ลำพูน,รวม,รวม,401139.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ลำปาง,รวม,รวม,724678.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อุตรดิตถ์,รวม,รวม,446148.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,แพร่,รวม,รวม,434580.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,น่าน,รวม,รวม,475875.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พะเยา,รวม,รวม,464505.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เชียงราย,รวม,รวม,1298425.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,แม่ฮ่องสอน,รวม,รวม,285916.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครสวรรค์,รวม,รวม,1035028.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อุทัยธานี,รวม,รวม,325116.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กำแพงเพชร,รวม,รวม,712143.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ตาก,รวม,รวม,676583.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สุโขทัย,รวม,รวม,585352.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พิษณุโลก,รวม,รวม,847384.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พิจิตร,รวม,รวม,529395.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เพชรบูรณ์,รวม,รวม,978372.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครราชสีมา,รวม,รวม,2634154.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,บุรีรัมย์,รวม,รวม,1579805.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สุรินทร์,รวม,รวม,1376230.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ศรีสะเกษ,รวม,รวม,1457556.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อุบลราชธานี,รวม,รวม,1868519.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ยโสธร,รวม,รวม,533394.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ชัยภูมิ,รวม,รวม,1122265.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อำนาจเจริญ,รวม,รวม,376350.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,บึงกาฬ,รวม,รวม,421995.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,หนองบัวลำภู,รวม,รวม,509001.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ขอนแก่น,รวม,รวม,1790863.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อุดรธานี,รวม,รวม,1566510.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เลย,รวม,รวม,638732.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,หนองคาย,รวม,รวม,516843.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,มหาสารคาม,รวม,รวม,948310.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ร้อยเอ็ด,รวม,รวม,1296013.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กาฬสินธุ์,รวม,รวม,975570.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สกลนคร,รวม,รวม,1146286.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครพนม,รวม,รวม,717040.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,มุกดาหาร,รวม,รวม,351484.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครศรีธรรมราช,รวม,รวม,1549344.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กระบี่,รวม,รวม,479351.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พังงา,รวม,รวม,268016.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ภูเก็ต,รวม,รวม,418785.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สุราษฎร์ธานี,รวม,รวม,1072464.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ระนอง,รวม,รวม,194573.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ชุมพร,รวม,รวม,509479.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สงขลา,รวม,รวม,1431536.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สตูล,รวม,รวม,324835.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ตรัง,รวม,รวม,639788.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พัทลุง,รวม,รวม,522541.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ปัตตานี,รวม,รวม,729581.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ยะลา,รวม,รวม,542314.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นราธิวาส,รวม,รวม,809660.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,รวม,ชาย,2592292.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
